,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021
37.75,0.585124497511945,0.0657555476295487,3
38,0.597118021102378,0.06573947696442,3
38.25,0.588929222027593,0.0734488451486105,3
38.5,0.589937408425559,0.070674692166849,3
38.75,0.601433140794229,0.0704378879044356,3
39,0.60250200115627,0.0765105585605243,3
39.25,0.606873948813099,0.0771995675903934,3
39.5,0.610529796044127,0.0651931818715668,3
39.75,0.622368369583499,0.062650762697426,3
40,0.62028473057263,0.0580951311791638,3
40.25,0.615829823296984,0.058713215987958,3
40.5,0.620265235478464,0.0446787175407161,3
40.75,0.620589102324259,0.0492615275975251,3
41,0.637599459407775,0.0534565767234704,3
41.25,0.658338780208727,0.0738734487863284,3
41.5,0.66064027590989,0.0589341504324579,3
41.75,0.667757443617903,0.0617500598197832,3
42,0.685807560360177,0.0564843849573667,3
42.25,0.676944928323275,0.056144167148241,3
42.5,0.686204079171383,0.0397414758604075,3
42.75,0.687822426515539,0.0466102671070967,3
43,0.692473748133063,0.0404058402045386,3
43.25,0.694062519806259,0.0361942869793391,3
43.5,0.71399561464959,0.0366766172429277,3
43.75,0.714961614582994,0.0296801350360202,3
44,0.720040908205326,0.0281747061744797,3
44.25,0.724426315178571,0.031678227845466,3
44.5,0.738023355581546,0.0293491946195827,3
44.75,0.745525831645738,0.0249629538193179,3
45,0.751484447579484,0.0326979849927557,3
45.25,0.763394995673359,0.0241136311423797,3
45.5,0.76527365986265,0.0288647424869249,3
45.75,0.778027814863584,0.0229172927128763,3
46,0.774166875188396,0.0184596974759705,3
46.25,0.78445563398633,0.0219072848898402,3
46.5,0.785551598474345,0.0228260258066527,3
46.75,0.789287071961641,0.02010869604669,3
47,0.796171154627595,0.026432315601202,3
47.25,0.79071221239543,0.0210127325837434,3
47.5,0.799841057180255,0.0177904428357974,3
47.75,0.807050426085033,0.0218050035389365,3
48,0.802894606349384,0.0157130635296526,3
48.25,0.795312162698888,0.0202224669006258,3
48.5,0.799747294684926,0.0189521113878342,3
48.75,0.802796565543671,0.0225877205778787,3
49,0.799752541225655,0.0178026839837196,3
49.25,0.801775523555288,0.0250532929256747,3
49.5,0.805056383569189,0.0258900125637419,3
49.75,0.800479444568759,0.0264961244002748,3
50,0.801576577264716,0.0186180613437407,3
50.25,0.794826937844161,0.0230056644437787,3
50.5,0.790617189561344,0.0199484705455148,3
50.75,0.786622320971874,0.0294590791012486,3
51,0.784559763871193,0.021547971407442,3
51.25,0.779911936874657,0.0349127410016027,3
51.5,0.780104103769477,0.0292467270272134,3
51.75,0.764888949593016,0.0198797836598412,3
